Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
1928968_LU0003_LU0003_LXEUR,LU0003 MSAC 2006-WMC1 A2C MBS VAR 25.12.2035 LU0003_LXEUR_1928968_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,277.4759387,0.068491337,1,Type 1 Securitization,1,1,0.016,0,0.016,4.439615019,0,0.063252303,0.280815876,0
7217343_LU0003_LU0003_LXEUR,LU0003 CMLTI 2006-SHL1 M1 MBS VAR 25.11.2045 LU0003_LXEUR_7217343_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,29.03085619,0.068493614,1,Type 1 Securitization,1,1,0.016,0,0.016,0.464493699,0,0.063252303,0.029380296,0
7223154_LU0003_LU0003_LXEUR,LU0003 SAIL 2003-BC6 M1 MBS VAR 25.07.2033 LU0003_LXEUR_7223154_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,40.62738344,0.068495439,1,Type 1 Securitization,1,1,0.016,0,0.016,0.650038135,0,0.063252303,0.041116409,0
22554345,FN AL7090 MBS VAR 01.10.2037_22554345,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,15.74028308,0.12011738,1,Type 1 Securitization,1,1,0.01,0,0.01,0.157402831,0,0.063252303,0.009956092,0
1921309_LU0003_LU0003_LXEUR,LU0003 AMSI 2004-R5 M1 MBS VAR 25.07.2034 LU0003_LXEUR_1921309_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,131.1396404,0.068492527,1,Type 1 Securitization,1,1,0.016,0,0.016,2.098234246,0,0.063252303,0.132718149,0
4279957,GEWMC 2005-2 A2C MBS VAR 25.12.2035_4279957,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,17.38794026,0.073283157,1,Type 1 Securitization,1,1,0.016,0,0.016,0.278207044,0,0.063252303,0.017597236,0
22554149,CWL 2005-15 2AV3 MBS VAR 25.04.2036_22554149,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,1316.126598,0.062798467,1,Type 1 Securitization,1,1,0.016,0,0.016,21.05802557,0,0.063252303,1.331968622,0
4370375_LU0003_LU0003_LXEUR,LU0003 JPMAC 2007-CH5 A5 MBS VAR 25.06.2037 LU0003_LXEUR_4370375_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,294.7286702,0.060727816,1,Type 1 Securitization,1,1,0.012,0,0.012,3.536744043,0,0.063252303,0.223707207,0
22554288,FINA 2004-2 M1 MBS VAR 25.08.2034_22554288,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,94.44583152,0.06849357,1,Type 1 Securitization,1,1,0.028,0,0.028,2.644483283,0,0.063252303,0.167269659,0
7051864_LU0003_LU0003_LXEUR,LU0003 JPMAC 2007-CH2 MV1 MBS VAR 25.01.2037 LU0003_LXEUR_7051864_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,380.2711318,0.067899793,1,Type 1 Securitization,1,1,0.016,0,0.016,6.084338108,0,0.063252303,0.3848484,0
